식물명,생육형그룹,적정 광량(lux),광보상점(lux),광포화점(lux),사유
벵갈고무나무,관엽식물,"800-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
송악,목본류,"2,500-50,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남) / 적정 광량 하한 < 광보상점 상한 (일부 벗어남)
수국,초본 화훼류,"20,000-50,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
칼라데아 마코야나,다육·선인장류,"800-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
디펜바키아 ‘마리안느’,관엽식물,"800-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
마란타,관엽식물,"800-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
박쥐나무,목본류,"10,000-30,000","1,000-3,000",20000-30000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
피나타라벤더,목본류,"15,000-30,000","1,000-3,000",20000-30000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
디펜바키아 '트로픽스노우',관엽식물,"800-1,500","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
멜라니 고무나무,관엽식물,"800-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
보스턴고사리,관엽식물,"800-10,000","500-2,000",10000-20000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
부겐빌레아,목본류,"1,500-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
아데니움,다육·선인장류,"1,500-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
아레카야자,관엽식물,"800-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
파키라,관엽식물,"800-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
페퍼민트,초본 화훼류,"15,000-50,000","1,000-3,000",20000-50000,적정 광량 상한 > 광포화점 하한 (일부 벗어남)
푸밀라고무나무,관엽식물,"1,500-10,000","1,000-3,000",20000-30000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
하트호야,다육·선인장류,"1,500-10,000","500-2,000",10000,적정 광량 하한 < 광보상점 상한 (일부 벗어남)
